candidate_id,rank,score,reasoning
CAND_0008295,1,1.0100,"Exceptional AI Research Engineer (6.5 YOE); outstanding background in Python, BentoML, and QLoRA at product companies like Razorpay. High-confidence profile (88% verified); locally based with 45-day notice and 89% activity rate."
CAND_0052328,2,0.9663,"Exceptional Recommendation Systems Engineer (6.5 YOE); outstanding background in QLoRA, Vector Search, and LoRA at companies including Amazon and Observe.AI. High-confidence profile (93% verified); offers 30-day notice (79% recruiter response rate) and is locally based."
CAND_0072688,3,0.9442,"Exceptional Data Scientist (6.9 YOE); outstanding background in Qdrant, Semantic Search, and NLP at companies including Niramai and PolicyBazaar. High-confidence profile (95% verified); locally based with a 45-day notice and strong platform engagement (87% response rate)."
CAND_0099347,4,0.9321,"Exceptional Computer Vision Engineer (3.5 YOE); outstanding background in LoRA, Machine Learning, and LangChain at product companies like Swiggy. High-confidence profile (100% verified); locally based with a 45-day notice and strong platform engagement (86% response rate)."
CAND_0077956,5,0.9146,"Exceptional Computer Vision Engineer (6.4 YOE); outstanding background in Weaviate, LlamaIndex, and BentoML at product companies like Niramai. High-confidence profile (95% verified); willing to relocate from Chandigarh with a 120-day notice and strong platform engagement (88% response rate)."
CAND_0081846,6,0.9145,"Applied ML background (6.7 YOE) as Lead AI Engineer, with hands-on experience in Embeddings, Information Retrieval, and Vector Search at companies including Razorpay and Paytm. High-confidence profile (88% verified); offers 30-day notice (73% recruiter response rate) and is willing to relocate from Jaipur."
CAND_0099806,7,0.9057,"Strong AI Engineer with 4.6 YOE, showing deep expertise in Embeddings, Qdrant, and FAISS at companies including Mad Street Den and upGrad. High-confidence profile (80% verified); offers 30-day notice (76% recruiter response rate) and is willing to relocate from Bhubaneswar."
CAND_0083852,8,0.8997,"Applied ML background (6.0 YOE) as Data Scientist, with hands-on experience in Pinecone, Qdrant, and pgvector at companies including Mad Street Den and Dream11. High-confidence profile (88% verified); willing to relocate from Ahmedabad with a 90-day notice and strong platform engagement (85% response rate)."
CAND_0006418,9,0.8968,Excellent fit with 5.7 years of experience; previously built systems around Weaviate at companies including Verloop.io and Flipkart. High-confidence profile (100% verified); willing to relocate from Gurgaon with a 60-day notice and strong platform engagement (92% response rate).
CAND_0081480,10,0.8952,Excellent fit with 5.6 years of experience; previously built systems around FAISS at companies including Sarvam AI and Unacademy. High-confidence profile (88% verified); offers 60-day notice (85% recruiter response rate) and is locally based.
CAND_0061257,11,0.8824,Excellent fit with 8.0 years of experience; previously built systems around Python at companies including LinkedIn and Yellow.ai. High-confidence profile (95% verified); locally based with a 30-day notice and strong platform engagement (87% response rate).
CAND_0043637,12,0.8795,"Applied ML background (5.5 YOE) as Junior ML Engineer, with hands-on experience in Milvus, MLflow, and pgvector at companies including Rephrase.ai and Yellow.ai. High-confidence profile (82% verified); locally based with 45-day notice and 92% activity rate."
CAND_0041669,13,0.8778,Excellent fit with 8.0 years of experience; previously built systems around Semantic Search at companies including CRED and Mad Street Den. High-confidence profile (93% verified); offers 60-day notice (77% recruiter response rate) and is locally based.
CAND_0074225,14,0.8721,"Strong Machine Learning Engineer with 4.3 YOE, showing deep expertise in Milvus, Vector Search, and Python at companies including Unacademy and Mad Street Den. High-confidence profile (100% verified); willing to relocate from Vizag with a 120-day notice and strong platform engagement (91% response rate)."
CAND_0086154,15,0.8716,"Applied ML background (6.8 YOE) as Data Scientist, with hands-on experience in Machine Learning, BentoML, and Qdrant at companies including Ola and Verloop.io. High-confidence profile (100% verified); offers 90-day notice (90-day notice required) (90% recruiter response rate) and is willing to relocate from Ahmedabad."
CAND_0076482,16,0.8695,"Applied ML background (6.6 YOE) as ML Engineer, with hands-on experience in RAG, BentoML, and Pinecone at companies including Flipkart and CRED. High-confidence profile (100% verified); willing to relocate from Austin with 60-day notice and 86% activity rate."
CAND_0030784,17,0.8634,Excellent fit with 4.4 years of experience; previously built systems around Embeddings at companies including Yellow.ai and Flipkart. High-confidence profile (95% verified); locally based with a 90-day notice and strong platform engagement (90% response rate).
CAND_0007596,18,0.8630,"Applied ML background (4.4 YOE) as Junior ML Engineer, with hands-on experience in Weaviate, Machine Learning, and Python at companies including Flipkart and Meesho. High-confidence profile (82% verified); offers 45-day notice (86% recruiter response rate) and is locally based."
CAND_0000031,19,0.8405,"Applied ML background (6.0 YOE) as Recommendation Systems Engineer, with hands-on experience in Pinecone, Information Retrieval, and Embeddings at companies including Swiggy and Mad Street Den. High-confidence profile (95% verified); offers 60-day notice (91% recruiter response rate) and is willing to relocate from Hyderabad."
CAND_0010257,20,0.8358,"Strong Senior Data Scientist with 6.5 YOE, showing deep expertise in Python, Milvus, and Qdrant at companies including Google and PharmEasy. High-confidence profile (88% verified); locally based with a 120-day notice and strong platform engagement (72% response rate)."
CAND_0063736,21,0.8345,"Solid Data Scientist with 3.7 YOE and practical experience in Information Retrieval, PEFT, and Milvus. Medium-confidence profile (75% verified); based in Vizag with 45-day notice and 83% activity rate."
CAND_0098217,22,0.8336,"Solid ML Engineer with 6.4 YOE and practical experience in PEFT, MLflow, and Pinecone. High-confidence profile (88% verified); locally based with 45-day notice and 84% activity rate."
CAND_0053605,23,0.8334,"Solid Senior Software Engineer (ML) with 6.9 YOE and practical experience in RAG, pgvector, and Semantic Search. High-confidence profile (82% verified); offers 30-day notice (88% recruiter response rate) and is locally based."
CAND_0054546,24,0.8333,"Solid AI Research Engineer with 4.9 YOE and practical experience in LoRA, Qdrant, and BentoML. High-confidence profile (88% verified); offers 90-day notice (90-day notice required) (92% recruiter response rate) and is locally based."
CAND_0043860,25,0.8295,"Solid Junior ML Engineer with 6.1 YOE and practical experience in Semantic Search, Information Retrieval, and Qdrant. High-confidence profile (82% verified); offers 30-day notice (81% recruiter response rate) and is willing to relocate from Bhubaneswar."
CAND_0089381,26,0.8280,"Solid Computer Vision Engineer with 6.0 YOE and practical experience in Machine Learning, LlamaIndex, and Milvus. High-confidence profile (95% verified); willing to relocate from Vizag with 90-day notice (90-day notice required) and 81% activity rate."
CAND_0028422,27,0.8253,"Solid Junior ML Engineer with 5.5 YOE and practical experience in Pinecone, MLflow, and pgvector. High-confidence profile (93% verified); based in Chennai with a 90-day notice and strong platform engagement (76% response rate)."
CAND_0045887,28,0.8245,"Solid Data Scientist with 3.0 YOE and practical experience in Machine Learning, Embeddings. High-confidence profile (95% verified); offers 30-day notice (86% recruiter response rate) and is based in Chennai."
CAND_0069905,29,0.8196,"Solid Applied ML Engineer with 6.6 YOE and practical experience in Weaviate, LangChain, and LoRA. Medium-confidence profile (75% verified); willing to relocate from Bhubaneswar with a 90-day notice and strong platform engagement (78% response rate)."
CAND_0046459,30,0.8192,"Solid AI Research Engineer with 4.5 YOE and practical experience in Qdrant, pgvector, and Python. Medium-confidence profile (70% verified); locally based with 30-day notice and 84% activity rate."
CAND_0014909,31,0.8180,"Solid Computer Vision Engineer with 4.8 YOE and practical experience in pgvector, Python, and LangChain. High-confidence profile (93% verified); offers 120-day notice (120-day notice required) (76% recruiter response rate) and is locally based."
CAND_0038206,32,0.8160,"Solid Data Scientist with 3.5 YOE and practical experience in NLP, Semantic Search, and MLflow. High-confidence profile (88% verified); willing to relocate from Chandigarh with a 120-day notice and strong platform engagement (81% response rate)."
CAND_0074317,33,0.8146,"Solid AI Research Engineer with 4.2 YOE and practical experience in Pinecone, Milvus, and MLflow. High-confidence profile (95% verified); offers 120-day notice (120-day notice required) (86% recruiter response rate) and is locally based."
CAND_0068932,34,0.8139,"Solid ML Engineer with 5.2 YOE and practical experience in MLOps, RAG, and Milvus. High-confidence profile (100% verified); offers 30-day notice (82% recruiter response rate) and is locally based."
CAND_0019480,35,0.8132,"Solid NLP Engineer with 2.8 YOE and practical experience in Milvus, LangChain. High-confidence profile (100% verified); willing to relocate from Chennai with 90-day notice (90-day notice required) and 87% activity rate."
CAND_0082086,36,0.8110,"Solid Senior Software Engineer (ML) with 6.0 YOE and practical experience in FAISS, Pinecone, and Milvus. High-confidence profile (100% verified); offers 45-day notice (85% recruiter response rate) and is locally based."
CAND_0053591,37,0.8104,"Solid AI Engineer with 5.3 YOE and practical experience in Qdrant, Milvus, and RAG. High-confidence profile (88% verified); offers 60-day notice (81% recruiter response rate) and is based in Toronto."
CAND_0016659,38,0.8085,"Solid ML Engineer with 4.4 YOE and practical experience in Weaviate, Pinecone, and Information Retrieval. High-confidence profile (95% verified); offers 45-day notice (89% recruiter response rate) and is based in Coimbatore."
CAND_0054394,39,0.8079,"Solid Recommendation Systems Engineer with 4.1 YOE and practical experience in Embeddings, Machine Learning, and Pinecone. Medium-confidence profile (62% verified); offers 30-day notice (64% recruiter response rate) and is locally based."
CAND_0006567,40,0.8077,"Solid Senior AI Engineer with 7.9 YOE and practical experience in Python, Vector Representations, and NLP. High-confidence profile (88% verified); locally based with a 60-day notice and strong platform engagement (79% response rate)."
CAND_0010603,41,0.8071,"Solid ML Engineer with 5.3 YOE and practical experience in Machine Learning, pgvector, and Information Retrieval. Medium-confidence profile (75% verified); based in Bangalore with a 90-day notice and strong platform engagement (94% response rate)."
CAND_0020708,42,0.8044,"Solid Search Engineer with 4.2 YOE and practical experience in LangChain, Python, and Milvus. High-confidence profile (88% verified); based in Indore with a 30-day notice and strong platform engagement (84% response rate)."
CAND_0066690,43,0.8015,"Solid ML Engineer with 4.8 YOE and practical experience in Pinecone, PEFT, and pgvector. High-confidence profile (95% verified); willing to relocate from Gurgaon with 30-day notice and 88% activity rate."
CAND_0061265,44,0.7990,"Solid Recommendation Systems Engineer with 6.6 YOE and practical experience in Qdrant, Embeddings, and QLoRA. High-confidence profile (100% verified); offers 120-day notice (120-day notice required) (94% recruiter response rate) and is locally based."
CAND_0080534,45,0.7974,"Solid ML Engineer with 3.8 YOE and practical experience in LangChain, PEFT. High-confidence profile (100% verified); based in Vizag with 30-day notice and 91% activity rate."
CAND_0062658,46,0.7938,"Solid Junior ML Engineer with 4.2 YOE and practical experience in FAISS, LlamaIndex, and MLflow. High-confidence profile (82% verified); based in Trivandrum with 90-day notice (90-day notice required) and 81% activity rate."
CAND_0062247,47,0.7918,"Solid AI Engineer with 7.3 YOE and practical experience in Qdrant, Vector Search, and Pinecone. Medium-confidence profile (68% verified); willing to relocate from Kochi with a 30-day notice and strong platform engagement (78% response rate)."
CAND_0095207,48,0.7895,"Solid Computer Vision Engineer with 4.0 YOE and practical experience in Weaviate, MLflow, and FAISS. High-confidence profile (93% verified); willing to relocate from Bhubaneswar with a 120-day notice and strong platform engagement (72% response rate)."
CAND_0092706,49,0.7878,"Solid AI Research Engineer with 5.8 YOE and practical experience in MLOps, pgvector. High-confidence profile (93% verified); locally based with a 120-day notice and strong platform engagement (78% response rate)."
CAND_0099965,50,0.7878,"Solid Junior ML Engineer with 4.6 YOE and practical experience in LoRA, Semantic Search. High-confidence profile (95% verified); based in Kochi with a 120-day notice and strong platform engagement (88% response rate)."
CAND_0036184,51,0.7873,"Solid Recommendation Systems Engineer with 6.0 YOE and practical experience in Embeddings, FAISS, and Semantic Search. High-confidence profile (95% verified); based in Trivandrum with a 30-day notice and strong platform engagement (90% response rate)."
CAND_0015065,52,0.7866,"Solid AI Research Engineer with 3.9 YOE and practical experience in Information Retrieval, LlamaIndex, and MLflow. High-confidence profile (95% verified); offers 90-day notice (90-day notice required) (84% recruiter response rate) and is locally based."
CAND_0036437,53,0.7860,"Solid Search Engineer with 4.8 YOE and practical experience in Weaviate, Vector Search, and Milvus. High-confidence profile (95% verified); willing to relocate from Kolkata with 30-day notice and 87% activity rate."
CAND_0050553,54,0.7846,"Solid ML Engineer with 3.6 YOE and practical experience in LlamaIndex, Vector Search, and MLOps. High-confidence profile (100% verified); willing to relocate from Seattle with 30-day notice and 95% activity rate."
CAND_0048375,55,0.7804,"Solid Computer Vision Engineer with 4.4 YOE and practical experience in BentoML, Weaviate, and Information Retrieval. Medium-confidence profile (75% verified); based in Indore with a 60-day notice and strong platform engagement (83% response rate)."
CAND_0005538,56,0.7793,"Solid Senior AI Engineer with 5.9 YOE and practical experience in pgvector, Vector Representations, and QLoRA. High-confidence profile (88% verified); offers 90-day notice (90-day notice required) (81% recruiter response rate) and is based in Kolkata."
CAND_0026942,57,0.7789,"Solid Junior ML Engineer with 6.0 YOE and practical experience in BentoML, MLflow, and LangChain. High-confidence profile (100% verified); offers 30-day notice (84% recruiter response rate) and is willing to relocate from Chandigarh."
CAND_0022127,58,0.7774,"Solid Computer Vision Engineer with 5.5 YOE and practical experience in Machine Learning, Vector Search, and Qdrant. High-confidence profile (88% verified); willing to relocate from Kolkata with a 120-day notice and strong platform engagement (86% response rate)."
CAND_0050876,59,0.7765,"Solid Applied ML Engineer with 6.0 YOE and practical experience in Python, QLoRA, and Machine Learning. High-confidence profile (93% verified); offers 90-day notice (90-day notice required) (67% recruiter response rate) and is based in Kolkata."
CAND_0064888,60,0.7734,"Solid ML Engineer with 5.8 YOE and practical experience in pgvector, MLflow, and Embeddings. High-confidence profile (82% verified); willing to relocate from Vizag with a 30-day notice and strong platform engagement (92% response rate)."
CAND_0081053,61,0.7712,"Experienced NLP Engineer (5.4 YOE) with adjacent skills in Semantic Search, Machine Learning, and Weaviate. High-confidence profile (100% verified); willing to relocate from Chandigarh with 90-day notice (90-day notice required) and 83% activity rate."
CAND_0097079,62,0.7669,"Experienced Computer Vision Engineer (5.7 YOE) with adjacent skills in LangChain, NLP, and Semantic Search. High-confidence profile (93% verified); willing to relocate from Jaipur with a 90-day notice and strong platform engagement (79% response rate)."
CAND_0054318,63,0.7621,"Experienced AI Research Engineer (3.5 YOE) with adjacent skills in FAISS, MLflow, and LoRA. High-confidence profile (95% verified); based in Chandigarh with a 60-day notice and strong platform engagement (87% response rate)."
CAND_0012399,64,0.7618,"Experienced Computer Vision Engineer (4.6 YOE) with adjacent skills in LlamaIndex, Milvus, and HTML. Medium-confidence profile (70% verified); offers 45-day notice (94% recruiter response rate) and is willing to relocate from Trivandrum."
CAND_0090155,65,0.7595,"Experienced ML Engineer (5.8 YOE) with adjacent skills in Pinecone, PEFT, and Milvus. High-confidence profile (93% verified); locally based with 90-day notice (90-day notice required) and 64% activity rate."
CAND_0035879,66,0.7545,"Experienced AI Research Engineer (4.5 YOE) with adjacent skills in Python, pgvector, and Pinecone. High-confidence profile (88% verified); locally based with a 120-day notice and strong platform engagement (82% response rate)."
CAND_0052431,67,0.7502,"Experienced ML Engineer (5.3 YOE) with adjacent skills in Milvus, Semantic Search, and LlamaIndex. High-confidence profile (100% verified); offers 45-day notice (85% recruiter response rate) and is willing to relocate from Ahmedabad."
CAND_0020991,68,0.7469,"Experienced Junior ML Engineer (4.9 YOE) with adjacent skills in QLoRA, Python, and LoRA. High-confidence profile (100% verified); willing to relocate from Vizag with 120-day notice (120-day notice required) and 88% activity rate."
CAND_0095619,69,0.7467,"Experienced NLP Engineer (15.6 YOE) with adjacent skills in Pinecone, Weaviate, and NLP. High-confidence profile (95% verified); offers 30-day notice (90% recruiter response rate) and is based in Mumbai."
CAND_0093912,70,0.7460,"Experienced Senior Data Scientist (5.3 YOE) with adjacent skills in Vector Search, Milvus, and Embeddings. High-confidence profile (80% verified); based in Chandigarh with a 30-day notice and strong platform engagement (66% response rate)."
CAND_0080465,71,0.7447,"Experienced ML Engineer (4.2 YOE) with adjacent skills in Qdrant, Milvus, and Semantic Search. High-confidence profile (100% verified); willing to relocate from Toronto with 90-day notice (90-day notice required) and 83% activity rate."
CAND_0094685,72,0.7446,"Experienced AI Research Engineer (3.5 YOE) with adjacent skills in Python, pgvector, and MLflow. High-confidence profile (93% verified); offers 45-day notice (68% recruiter response rate) and is locally based."
CAND_0034164,73,0.7443,"Experienced Data Scientist (3.6 YOE) with adjacent skills in NLP, Weaviate, and PEFT. High-confidence profile (82% verified); willing to relocate from Hyderabad with 90-day notice (90-day notice required) and 84% activity rate."
CAND_0068513,74,0.7421,"Experienced Computer Vision Engineer (4.0 YOE) with adjacent skills in Qdrant, RAG, and Machine Learning. Medium-confidence profile (75% verified); willing to relocate from Kolkata with 60-day notice and 80% activity rate."
CAND_0032887,75,0.7404,"Experienced ML Engineer (6.1 YOE) with adjacent skills in NLP, Qdrant, and LlamaIndex. High-confidence profile (100% verified); offers 45-day notice (81% recruiter response rate) and is based in Singapore."
CAND_0010149,76,0.7387,"Experienced ML Engineer (6.9 YOE) with adjacent skills in Milvus, Vector Search, and PEFT. High-confidence profile (95% verified); willing to relocate from Bangalore with 90-day notice (90-day notice required) and 82% activity rate."
CAND_0046132,77,0.7381,"Experienced AI Research Engineer (4.3 YOE) with adjacent skills in MLOps, MLflow, and Information Retrieval. High-confidence profile (82% verified); locally based with 30-day notice and 94% activity rate."
CAND_0007412,78,0.7379,"Experienced Applied ML Engineer (7.4 YOE) with adjacent skills in Pinecone, Milvus, and RAG. High-confidence profile (88% verified); locally based with a 120-day notice and strong platform engagement (76% response rate)."
CAND_0025640,79,0.7361,"Experienced AI Research Engineer (5.6 YOE) with adjacent skills in FAISS, Semantic Search, and Information Retrieval. High-confidence profile (82% verified); based in Jaipur with a 30-day notice and strong platform engagement (87% response rate)."
CAND_0071974,80,0.7357,"Experienced Senior AI Engineer (7.8 YOE) with adjacent skills in Qdrant, Weaviate, and Pinecone. High-confidence profile (93% verified); based in Vizag with 45-day notice and 76% activity rate."
CAND_0093763,81,0.7329,"Experienced Senior Software Engineer (ML) (5.0 YOE) with adjacent skills in MLOps, FAISS, and Vector Search. Medium-confidence profile (70% verified); locally based with 90-day notice (90-day notice required) and 92% activity rate."
CAND_0032527,82,0.7325,"Experienced Junior ML Engineer (3.9 YOE) with adjacent skills in Python, Vector Search, and LangChain. Medium-confidence profile (75% verified); offers 30-day notice (81% recruiter response rate) and is willing to relocate from Ahmedabad."
CAND_0085335,83,0.7274,"Experienced ML Engineer (3.1 YOE) with adjacent skills in Information Retrieval, LangChain, and Semantic Search. High-confidence profile (95% verified); offers 120-day notice (120-day notice required) (83% recruiter response rate) and is willing to relocate from Indore."
CAND_0075715,84,0.7267,"Experienced Data Scientist (3.5 YOE) with adjacent skills in MLflow, Pinecone, and Information Retrieval. High-confidence profile (93% verified); offers 90-day notice (90-day notice required) (62% recruiter response rate) and is willing to relocate from Kolkata."
CAND_0052195,85,0.7264,"Experienced Computer Vision Engineer (6.3 YOE) with adjacent skills in Information Retrieval, NLP, and LoRA. High-confidence profile (93% verified); willing to relocate from Kolkata with a 30-day notice and strong platform engagement (69% response rate)."
CAND_0098454,86,0.7262,"Experienced AI Specialist (6.6 YOE) with adjacent skills in Weaviate, MLOps, and NLP. High-confidence profile (95% verified); offers 60-day notice (87% recruiter response rate) and is willing to relocate from Indore."
CAND_0037160,87,0.7241,"Experienced Data Scientist (6.0 YOE) with adjacent skills in Weaviate, Embeddings, and Vector Search. Medium-confidence profile (62% verified); offers 30-day notice (74% recruiter response rate) and is based in Mumbai."
CAND_0054100,88,0.7222,"Experienced Junior ML Engineer (6.0 YOE) with adjacent skills in Semantic Search, Vector Search, and Weaviate. High-confidence profile (93% verified); based in Kolkata with 60-day notice and 79% activity rate."
CAND_0025882,89,0.7219,"Experienced Senior Software Engineer (ML) (5.6 YOE) with adjacent skills in Milvus, FAISS, and LoRA. Medium-confidence profile (75% verified); willing to relocate from Chennai with a 45-day notice and strong platform engagement (79% response rate)."
CAND_0003575,90,0.7179,"Experienced Data Scientist (3.7 YOE) with adjacent skills in pgvector, BentoML, and Semantic Search. High-confidence profile (88% verified); offers 45-day notice (67% recruiter response rate) and is willing to relocate from Ahmedabad."
CAND_0031306,91,0.7171,"Experienced Junior ML Engineer (3.0 YOE) with adjacent skills in NLP, PEFT, and Information Retrieval. High-confidence profile (82% verified); based in Jaipur with a 60-day notice and strong platform engagement (84% response rate)."
CAND_0004628,92,0.7167,"Experienced AI Research Engineer (3.3 YOE) with adjacent skills in Semantic Search, LoRA, and LangChain. High-confidence profile (93% verified); willing to relocate from Bhubaneswar with a 90-day notice and strong platform engagement (77% response rate)."
CAND_0071747,93,0.7167,"Experienced AI Research Engineer (4.2 YOE) with adjacent skills in Python, Semantic Search, and BentoML. High-confidence profile (100% verified); based in Kolkata with 90-day notice (90-day notice required) and 87% activity rate."
CAND_0026716,94,0.7139,"Experienced Computer Vision Engineer (5.6 YOE) with adjacent skills in MLOps, pgvector, and Pinecone. Medium-confidence profile (75% verified); offers 60-day notice (82% recruiter response rate) and is willing to relocate from Trivandrum."
CAND_0017178,95,0.7136,"Experienced ML Engineer (4.2 YOE) with adjacent skills in PEFT, LlamaIndex, and QLoRA. High-confidence profile (95% verified); offers 30-day notice (85% recruiter response rate) and is based in Hyderabad."
CAND_0031982,96,0.7134,"Experienced Computer Vision Engineer (3.7 YOE) with adjacent skills in Milvus, FAISS, and HTML. High-confidence profile (88% verified); offers 60-day notice (79% recruiter response rate) and is based in Ahmedabad."
CAND_0073314,97,0.7127,"Experienced Senior Software Engineer (ML) (5.2 YOE) with adjacent skills in PEFT, BentoML, and MLOps. High-confidence profile (100% verified); locally based with a 60-day notice and strong platform engagement (84% response rate)."
CAND_0049540,98,0.7091,"Experienced ML Engineer (6.8 YOE) with adjacent skills in MLflow, QLoRA, and pgvector. High-confidence profile (82% verified); based in Trivandrum with a 60-day notice and strong platform engagement (86% response rate)."
CAND_0064904,99,0.7064,"Experienced AI Engineer (4.9 YOE) with adjacent skills in Embeddings, Python, and Vector Search. High-confidence profile (93% verified); based in Hyderabad with 90-day notice (90-day notice required) and 78% activity rate."
CAND_0043384,100,0.7062,Experienced Computer Vision Engineer (5.2 YOE) with adjacent skills in QLoRA. High-confidence profile (88% verified); willing to relocate from Chennai with a 60-day notice and strong platform engagement (83% response rate).
